slang,formal
"Aduh yhaa, kamu garing banget!","Astaga, saudara membosankan sekali!"
"Aduh wkwk, elo santuy banget!","Astaga, saudara santai sekali!"
"Mabar yuk elo, gw selow nih","Bermain bersama yuk kamu, saya santai"
"Aduh yaelah, you cepet banget!","Astaga, Anda cepat sekali!"
"Aduh waduh, you tajir banget!","Astaga, kamu kaya sekali!"
"Aduh deck, lu jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
"Mabar yuk kamu, gw selow nih","Bermain bersama yuk saudara, saya santai"
"Aduh deck, kamu bucin banget!","Astaga, saudara budak cinta sekali!"
"Mabar yuk lu, gw nyok nih","Bermain bersama yuk Anda, saya ayo"
loe selow banget dah,saudara santai sekali
"Aduh haha, ente bucin banget!","Astaga, Anda budak cinta sekali!"
"Aduh wkwk, you cepet banget!","Astaga, kamu cepat sekali!"
"Aduh waduh, ente mager banget!","Astaga, saudara malas gerak sekali!"
"Aduh siap, elo ajib banget!","Astaga, saudara hebat sekali!"
kamu tuh gercep banget sih,kamu benar-benar cepat
"Aduh haha, loe alay banget!","Astaga, kamu norak sekali!"
"Aduh yhaa, loe baper banget!","Astaga, saudara terlalu sensitif sekali!"
"Aduh yaelah, ente tajir banget!","Astaga, Anda kaya sekali!"
"Aduh yhaa, kamu cepet banget!","Astaga, saudara cepat sekali!"
lu tuh mager banget sih,saudara benar-benar malas gerak
"Aduh yhaa, elo garing banget!","Astaga, Anda membosankan sekali!"
"Aduh wkwk, lu mantul banget!","Astaga, saudara mantap sekali!"
"Aduh wkwk, elo gercep banget!","Astaga, saudara cepat sekali!"
"Aduh waduh, lu kepo banget!","Astaga, saudara penasaran sekali!"
ente japri banget dah,kamu kirim pesan pribadi sekali
"Aduh dah, loe ajib banget!","Astaga, kamu hebat sekali!"
"Aduh dah, lu syulit banget!","Astaga, kamu sulit sekali!"
"Aduh dah, ente jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh yhaa, elo gercep banget!","Astaga, saudara cepat sekali!"
loe tuh lebay banget sih,saudara benar-benar berlebihan
"Aduh wkwk, ente garing banget!","Astaga, Anda membosankan sekali!"
"Aduh wkwk, loe galau banget!","Astaga, saudara sedih sekali!"
"Aduh wkwk, kamu syulit banget!","Astaga, saudara sulit sekali!"
"Aduh anjir, you baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh deck, elo cepet banget!","Astaga, saudara cepat sekali!"
"Aduh njir, elo mager banget!","Astaga, Anda malas gerak sekali!"
lu tuh mantul banget sih,kamu benar-benar mantap
"Aduh deck, elo gercep banget!","Astaga, Anda cepat sekali!"
"Aduh yaelah, kamu cepet banget!","Astaga, saudara cepat sekali!"
"Aduh haha, lu alay banget!","Astaga, Anda norak sekali!"
"Aduh deck, you bucin banget!","Astaga, Anda budak cinta sekali!"
"Aduh yaelah, ente ngehe banget!","Astaga, kamu menjengkelkan sekali!"
"Aduh wkwk, you mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh deck, lu alay banget!","Astaga, kamu norak sekali!"
"Aduh anjir, you gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh yhaa, elo jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
ente tuh alay banget sih,kamu benar-benar norak
"Aduh dah, elo santuy banget!","Astaga, kamu santai sekali!"
"Aduh haha, kamu mantul banget!","Astaga, saudara mantap sekali!"
"Aduh yaelah, you ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh yaelah, loe mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh dah, kamu mager banget!","Astaga, Anda malas gerak sekali!"
"Aduh deck, elo ngehe banget!","Astaga, Anda menjengkelkan sekali!"
"Mabar yuk kamu, gw japri nih","Bermain bersama yuk kamu, saya kirim pesan pribadi"
"Mabar yuk you, gw flexing nih","Bermain bersama yuk saudara, saya pamer"
"Mabar yuk ente, gw nyok nih","Bermain bersama yuk kamu, saya ayo"
"Aduh yhaa, lu syulit banget!","Astaga, saudara sulit sekali!"
lu jadian banget dah,saudara berhubungan sekali
elo tuh mantul banget sih,kamu benar-benar mantap
loe tuh santuy banget sih,Anda benar-benar santai
"Aduh yaelah, ente mantul banget!","Astaga, saudara mantap sekali!"
"Aduh yhaa, lu galau banget!","Astaga, saudara sedih sekali!"
"Aduh waduh, ente gabut banget!","Astaga, Anda tidak produktif sekali!"
"Aduh anjir, ente tajir banget!","Astaga, saudara kaya sekali!"
"Aduh anjir, elo tajir banget!","Astaga, saudara kaya sekali!"
elo tuh santuy banget sih,saudara benar-benar santai
"Aduh anjir, loe gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh siap, lu jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh dah, you tajir banget!","Astaga, saudara kaya sekali!"
"Aduh haha, elo ngehe banget!","Astaga, kamu menjengkelkan sekali!"
lu ghosting banget dah,saudara menghilang sekali
"Aduh yhaa, loe ajib banget!","Astaga, Anda hebat sekali!"
"Mabar yuk lu, gw sokin nih","Bermain bersama yuk Anda, saya fokus"
kamu tuh tajir banget sih,saudara benar-benar kaya
"Aduh anjir, loe gercep banget!","Astaga, saudara cepat sekali!"
"Aduh yhaa, loe garing banget!","Astaga, Anda membosankan sekali!"
loe tuh baper banget sih,kamu benar-benar terlalu sensitif
you tuh tajir banget sih,Anda benar-benar kaya
"Aduh dah, kamu santuy banget!","Astaga, Anda santai sekali!"
"Aduh njir, loe gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh yaelah, elo santuy banget!","Astaga, saudara santai sekali!"
"Aduh yhaa, loe mantul banget!","Astaga, kamu mantap sekali!"
"Aduh dah, you gemoy banget!","Astaga, Anda menggemaskan sekali!"
loe tuh alay banget sih,saudara benar-benar norak
"Aduh njir, you ajib banget!","Astaga, Anda hebat sekali!"
"Aduh haha, kamu ambyar banget!","Astaga, kamu hancur sekali!"
"Aduh anjir, loe mantul banget!","Astaga, Anda mantap sekali!"
"Aduh deck, lu cepet banget!","Astaga, Anda cepat sekali!"
"Aduh yhaa, lu tajir banget!","Astaga, Anda kaya sekali!"
"Aduh dah, kamu ambyar banget!","Astaga, kamu hancur sekali!"
"Aduh njir, you jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh deck, ente jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Mabar yuk elo, gw troll nih","Bermain bersama yuk kamu, saya mengganggu"
"Aduh njir, lu baper banget!","Astaga, saudara terlalu sensitif sekali!"
"Aduh siap, elo santuy banget!","Astaga, Anda santai sekali!"
you jadian banget dah,saudara berhubungan sekali
"Aduh siap, lu kepo banget!","Astaga, saudara penasaran sekali!"
"Mabar yuk loe, gw troll nih","Bermain bersama yuk Anda, saya mengganggu"
loe tuh cepet banget sih,kamu benar-benar cepat
"Aduh deck, kamu alay banget!","Astaga, Anda norak sekali!"
"Aduh deck, loe kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh anjir, you ngehe banget!","Astaga, Anda menjengkelkan sekali!"
loe ribut banget dah,Anda berdebat sekali
"Aduh deck, loe lebay banget!","Astaga, Anda berlebihan sekali!"
"Aduh yhaa, ente cepet banget!","Astaga, kamu cepat sekali!"
"Aduh yaelah, kamu santuy banget!","Astaga, Anda santai sekali!"
Jangan flexing dong loe,"Tolong jangan pamer, saudara"
"Aduh yaelah, lu cepet banget!","Astaga, kamu cepat sekali!"
"Aduh deck, lu mantul banget!","Astaga, saudara mantap sekali!"
kamu tuh gabut banget sih,kamu benar-benar tidak produktif
"Aduh yaelah, ente baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh wkwk, you ajib banget!","Astaga, kamu hebat sekali!"
"Aduh siap, loe ajib banget!","Astaga, Anda hebat sekali!"
"Aduh anjir, elo alay banget!","Astaga, kamu norak sekali!"
"Aduh deck, elo kepo banget!","Astaga, kamu penasaran sekali!"
"Aduh dah, elo syulit banget!","Astaga, saudara sulit sekali!"
elo mabar banget dah,kamu main bersama sekali
"Aduh siap, lu garing banget!","Astaga, saudara membosankan sekali!"
"Aduh njir, elo syulit banget!","Astaga, kamu sulit sekali!"
"Aduh siap, elo ngehe banget!","Astaga, kamu menjengkelkan sekali!"
"Aduh waduh, loe kepo banget!","Astaga, Anda penasaran sekali!"
"Aduh anjir, loe kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh haha, loe mantul banget!","Astaga, Anda mantap sekali!"
"Mabar yuk ente, gw modus nih","Bermain bersama yuk Anda, saya berpura-pura"
Jangan troll dong elo,"Tolong jangan mengganggu, Anda"
"Aduh dah, loe gabut banget!","Astaga, Anda tidak produktif sekali!"
loe tuh mantul banget sih,saudara benar-benar mantap
Jangan unfriend dong lu,"Tolong jangan hapus pertemanan, Anda"
"Aduh yhaa, you galau banget!","Astaga, kamu sedih sekali!"
"Aduh siap, ente mantul banget!","Astaga, kamu mantap sekali!"
"Aduh wkwk, loe ajib banget!","Astaga, Anda hebat sekali!"
"Aduh njir, you cepet banget!","Astaga, Anda cepat sekali!"
"Aduh anjir, ente ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh haha, you ambyar banget!","Astaga, saudara hancur sekali!"
"Aduh wkwk, lu gemoy banget!","Astaga, Anda menggemaskan sekali!"
Jangan ribut dong elo,"Tolong jangan berdebat, kamu"
"Aduh haha, elo ambyar banget!","Astaga, kamu hancur sekali!"
"Mabar yuk loe, gw japri nih","Bermain bersama yuk Anda, saya kirim pesan pribadi"
"Aduh deck, ente alay banget!","Astaga, saudara norak sekali!"
"Aduh siap, elo cepet banget!","Astaga, kamu cepat sekali!"
"Aduh siap, you jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
loe tuh gercep banget sih,saudara benar-benar cepat
ente tuh galau banget sih,saudara benar-benar sedih
kamu tuh syulit banget sih,saudara benar-benar sulit
"Aduh siap, kamu cepet banget!","Astaga, kamu cepat sekali!"
"Aduh wkwk, ente gercep banget!","Astaga, Anda cepat sekali!"
"Aduh wkwk, you gabut banget!","Astaga, saudara tidak produktif sekali!"
"Aduh haha, elo syulit banget!","Astaga, saudara sulit sekali!"
ente tuh syulit banget sih,Anda benar-benar sulit
"Mabar yuk elo, gw sokin nih","Bermain bersama yuk Anda, saya fokus"
you modus banget dah,Anda berpura-pura sekali
Jangan japri dong you,"Tolong jangan kirim pesan pribadi, Anda"
"Aduh yaelah, loe gercep banget!","Astaga, saudara cepat sekali!"
"Aduh yaelah, lu jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
Jangan flexing dong kamu,"Tolong jangan pamer, saudara"
"Aduh deck, elo gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh yaelah, lu alay banget!","Astaga, kamu norak sekali!"
"Aduh waduh, kamu garing banget!","Astaga, kamu membosankan sekali!"
"Aduh anjir, elo gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh deck, ente syulit banget!","Astaga, Anda sulit sekali!"
Jangan nyok dong kamu,"Tolong jangan ayo, Anda"
"Aduh njir, elo kepo banget!","Astaga, Anda penasaran sekali!"
"Aduh wkwk, lu gercep banget!","Astaga, kamu cepat sekali!"
Jangan troll dong lu,"Tolong jangan mengganggu, Anda"
"Aduh yaelah, elo kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh anjir, lu bucin banget!","Astaga, saudara budak cinta sekali!"
"Aduh njir, loe baper banget!","Astaga, Anda terlalu sensitif sekali!"
"Aduh dah, loe ambyar banget!","Astaga, kamu hancur sekali!"
"Aduh dah, you gabut banget!","Astaga, saudara tidak produktif sekali!"
"Aduh anjir, loe alay banget!","Astaga, Anda norak sekali!"
"Aduh anjir, kamu tajir banget!","Astaga, saudara kaya sekali!"
"Aduh siap, kamu lebay banget!","Astaga, Anda berlebihan sekali!"
"Aduh njir, ente mantul banget!","Astaga, saudara mantap sekali!"
"Aduh dah, ente ngehe banget!","Astaga, kamu menjengkelkan sekali!"
"Aduh waduh, lu bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh waduh, kamu cepet banget!","Astaga, kamu cepat sekali!"
"Aduh njir, kamu ambyar banget!","Astaga, kamu hancur sekali!"
Jangan modus dong loe,"Tolong jangan berpura-pura, Anda"
"Aduh deck, kamu mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh njir, elo santuy banget!","Astaga, kamu santai sekali!"
"Aduh deck, you gabut banget!","Astaga, saudara tidak produktif sekali!"
"Aduh deck, kamu ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh siap, ente ambyar banget!","Astaga, Anda hancur sekali!"
lu tuh garing banget sih,Anda benar-benar membosankan
"Aduh yhaa, you gercep banget!","Astaga, Anda cepat sekali!"
"Aduh anjir, you jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh deck, kamu kepo banget!","Astaga, Anda penasaran sekali!"
lu tuh syulit banget sih,Anda benar-benar sulit
"Aduh njir, kamu mager banget!","Astaga, Anda malas gerak sekali!"
"Aduh njir, elo tajir banget!","Astaga, saudara kaya sekali!"
"Aduh wkwk, kamu cepet banget!","Astaga, Anda cepat sekali!"
"Aduh dah, you kepo banget!","Astaga, Anda penasaran sekali!"
loe modus banget dah,Anda berpura-pura sekali
"Aduh njir, loe jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Mabar yuk ente, gw mabar nih","Bermain bersama yuk Anda, saya main bersama"
lu mabar banget dah,Anda main bersama sekali
"Aduh haha, elo gercep banget!","Astaga, saudara cepat sekali!"
"Aduh wkwk, loe mantul banget!","Astaga, saudara mantap sekali!"
"Aduh wkwk, ente bucin banget!","Astaga, saudara budak cinta sekali!"
"Aduh yhaa, you lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh haha, kamu galau banget!","Astaga, saudara sedih sekali!"
"Aduh anjir, loe lebay banget!","Astaga, kamu berlebihan sekali!"
"Aduh njir, ente ngehe banget!","Astaga, Anda menjengkelkan sekali!"
"Aduh njir, ente cepet banget!","Astaga, saudara cepat sekali!"
"Aduh siap, lu cepet banget!","Astaga, Anda cepat sekali!"
"Aduh siap, elo gabut banget!","Astaga, saudara tidak produktif sekali!"
"Aduh dah, kamu gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh dah, you baper banget!","Astaga, saudara terlalu sensitif sekali!"
"Aduh haha, loe jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh haha, ente kepo banget!","Astaga, kamu penasaran sekali!"
"Aduh anjir, loe gabut banget!","Astaga, Anda tidak produktif sekali!"
"Aduh yhaa, elo galau banget!","Astaga, saudara sedih sekali!"
"Aduh haha, kamu gercep banget!","Astaga, kamu cepat sekali!"
"Aduh njir, you tajir banget!","Astaga, kamu kaya sekali!"
Jangan troll dong loe,"Tolong jangan mengganggu, kamu"
"Aduh deck, loe alay banget!","Astaga, kamu norak sekali!"
"Aduh anjir, kamu lebay banget!","Astaga, kamu berlebihan sekali!"
"Aduh siap, kamu syulit banget!","Astaga, kamu sulit sekali!"
"Aduh anjir, elo mantul banget!","Astaga, saudara mantap sekali!"
"Aduh waduh, elo galau banget!","Astaga, kamu sedih sekali!"
"Aduh wkwk, ente ngehe banget!","Astaga, kamu menjengkelkan sekali!"
elo ribut banget dah,saudara berdebat sekali
"Aduh anjir, you lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh siap, ente gabut banget!","Astaga, Anda tidak produktif sekali!"
ente tuh tajir banget sih,kamu benar-benar kaya
loe tuh jomblo banget sih,kamu benar-benar tidak punya pasangan
"Aduh waduh, elo gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh dah, kamu gercep banget!","Astaga, saudara cepat sekali!"
"Aduh anjir, kamu gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh yhaa, elo baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh siap, kamu gemoy banget!","Astaga, kamu menggemaskan sekali!"
you tuh mager banget sih,kamu benar-benar malas gerak
kamu tuh ambyar banget sih,kamu benar-benar hancur
"Aduh yaelah, loe baper banget!","Astaga, saudara terlalu sensitif sekali!"
"Aduh waduh, kamu galau banget!","Astaga, Anda sedih sekali!"
"Aduh haha, you gabut banget!","Astaga, Anda tidak produktif sekali!"
"Aduh haha, you gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Aduh wkwk, ente alay banget!","Astaga, kamu norak sekali!"
"Aduh dah, kamu alay banget!","Astaga, Anda norak sekali!"
"Aduh yaelah, lu bucin banget!","Astaga, Anda budak cinta sekali!"
"Aduh yhaa, you santuy banget!","Astaga, kamu santai sekali!"
"Aduh anjir, kamu cepet banget!","Astaga, Anda cepat sekali!"
"Aduh njir, you gercep banget!","Astaga, saudara cepat sekali!"
ente troll banget dah,kamu mengganggu sekali
Jangan selow dong ente,"Tolong jangan santai, saudara"
"Aduh njir, elo gercep banget!","Astaga, saudara cepat sekali!"
"Aduh siap, ente lebay banget!","Astaga, Anda berlebihan sekali!"
"Aduh haha, ente gabut banget!","Astaga, Anda tidak produktif sekali!"
Jangan sokin dong loe,"Tolong jangan fokus, Anda"
"Aduh haha, you santuy banget!","Astaga, kamu santai sekali!"
"Aduh yaelah, elo ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh dah, elo bucin banget!","Astaga, Anda budak cinta sekali!"
elo tuh syulit banget sih,Anda benar-benar sulit
ente ribut banget dah,Anda berdebat sekali
"Aduh dah, ente mager banget!","Astaga, Anda malas gerak sekali!"
"Aduh haha, kamu mager banget!","Astaga, saudara malas gerak sekali!"
"Aduh waduh, lu baper banget!","Astaga, Anda terlalu sensitif sekali!"
"Aduh anjir, elo garing banget!","Astaga, saudara membosankan sekali!"
"Aduh njir, elo garing banget!","Astaga, kamu membosankan sekali!"
ente block banget dah,Anda blokir sekali
"Aduh deck, kamu gabut banget!","Astaga, saudara tidak produktif sekali!"
"Aduh wkwk, kamu mager banget!","Astaga, Anda malas gerak sekali!"
kamu nyok banget dah,kamu ayo sekali
"Aduh njir, elo alay banget!","Astaga, saudara norak sekali!"
kamu unfriend banget dah,Anda hapus pertemanan sekali
"Aduh njir, ente santuy banget!","Astaga, kamu santai sekali!"
"Aduh haha, lu tajir banget!","Astaga, Anda kaya sekali!"
"Aduh deck, kamu jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh anjir, loe tajir banget!","Astaga, Anda kaya sekali!"
Jangan japri dong lu,"Tolong jangan kirim pesan pribadi, kamu"
"Aduh haha, lu mager banget!","Astaga, Anda malas gerak sekali!"
"Aduh siap, you gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh waduh, ente ajib banget!","Astaga, Anda hebat sekali!"
"Aduh wkwk, you ambyar banget!","Astaga, saudara hancur sekali!"
Jangan ribut dong you,"Tolong jangan berdebat, kamu"
"Aduh anjir, loe ambyar banget!","Astaga, saudara hancur sekali!"
"Aduh dah, elo alay banget!","Astaga, kamu norak sekali!"
"Aduh deck, loe tajir banget!","Astaga, saudara kaya sekali!"
"Aduh dah, kamu baper banget!","Astaga, Anda terlalu sensitif sekali!"
"Aduh siap, you ambyar banget!","Astaga, kamu hancur sekali!"
lu japri banget dah,Anda kirim pesan pribadi sekali
"Aduh yhaa, elo bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh waduh, loe lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh wkwk, you kepo banget!","Astaga, kamu penasaran sekali!"
"Mabar yuk elo, gw modus nih","Bermain bersama yuk Anda, saya berpura-pura"
"Aduh deck, ente ambyar banget!","Astaga, saudara hancur sekali!"
you selow banget dah,Anda santai sekali
"Mabar yuk kamu, gw ghosting nih","Bermain bersama yuk saudara, saya menghilang"
"Aduh njir, lu gercep banget!","Astaga, kamu cepat sekali!"
"Aduh anjir, you alay banget!","Astaga, saudara norak sekali!"
"Aduh wkwk, lu cepet banget!","Astaga, kamu cepat sekali!"
"Aduh dah, elo ngehe banget!","Astaga, Anda menjengkelkan sekali!"
"Aduh waduh, loe gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Mabar yuk you, gw modus nih","Bermain bersama yuk Anda, saya berpura-pura"
